id,titulo,mpa,genero,duracion,fecha_estreno,productora,ingresos,presupuesto,voto_promedio,cantidad_votos,popularidad,director,genero_director
tt0132347,Mystery Men,PG-13,Adventure,121,1999-08-06,Universal Pictures,29762011,68000000,5.825,773,17.822,Kinka Usher,Masculino
tt0120655,Dogma,R,Fantasy,130,1999-11-12,View Askew Productions,31429330,10000000,6.914,2360,21.981,Kevin Smith,Masculino
tt0120458,Virus,R,Horror,99,1999-01-14,Universal Pictures,30700000,75000000,5.387,553,18.466,John Bruno,Masculino
tt0167427,Superstar,PG-13,Comedy,82,1999-10-08,SNL Studios,30636478,14000000,5.302,273,11.229,Bruce McCulloch,Masculino
tt0129280,The Out-of-Towners,PG-13,Comedy,90,1999-04-02,Paramount,29000000,75000000,5.7,207,11.688,Sam Weisman,Masculino
tt0139239,Go,R,Crime,98,1999-04-09,Columbia Pictures,28451622,6500000,6.9,646,18.441,Doug Liman,Masculino
tt0120646,The Deep End of the Ocean,PG-13,Drama,106,1999-03-12,Mandalay Entertainment,28121100,38000000,6.476,394,23.201,Ulu Grosbard,Masculino
tt0123209,The Other Sister,PG-13,Comedy,130,1999-02-26,Touchstone Pictures,27807627,35000000,6.394,156,15.817,Garry Marshall,Masculino
tt0161100,The Wood,R,Comedy,106,1999-07-16,MTV Films,25059640,6000000,6.78,91,8.333,Rick Famuyiwa,Masculino
tt0142192,The Corruptor,R,Action,110,1999-03-12,New Line Cinema,15156200,25000000,6.1,253,12.564,James Foley,Masculino
tt0149691,Anywhere but Here,PG-13,Drama,114,1999-11-12,Fox 2000 Pictures,18653615,23000000,6.089,259,12.411,Wayne Wang,Masculino
tt0129167,The Iron Giant,PG,Family,86,1999-08-06,Warner Bros. Feature Animation,23300000,50000000,7.933,5227,50.556,Brad Bird,Masculino
tt0120601,Being John Malkovich,R,Comedy,113,1999-10-29,PolyGram Filmed Entertainment,22863596,13000000,7.417,4075,21.208,Spike Jonze,Masculino
tt0120834,Snow Falling on Cedars,PG-13,Drama,127,1999-12-22,Universal Pictures,23049593,35000000,6.093,129,9.581,Scott Hicks,Masculino
tt0164114,Drive Me Crazy,PG-13,Romance,91,1999-10-01,Grand March Productions,22593409,8000000,6.6,355,13.353,John Schultz,Masculino
tt0158811,Muppets from Space,G,Family,87,1999-07-14,Columbia Pictures,22300000,24000000,6.064,304,13.59,Tim Hill,Masculino
tt0164181,Stir of Echoes,R,Horror,99,1999-09-10,Artisan Entertainment,21100000,12000000,6.671,1119,16.465,David Koepp,Masculino
tt0120731,La leggenda del pianista sull'oceano,R,Drama,170,1998-10-28,Medusa Film,21057208,9000000,8.262,2142,24.066,Giuseppe Tornatore,Masculino
tt0138304,The Astronaut's Wife,R,Drama,109,1999-08-27,New Line Cinema,19598588,75000000,5.584,860,28.002,Rand Ravich,Masculino
tt0162677,Summer of Sam,R,Thriller,142,1999-07-02,40 Acres and a Mule Filmworks,19288130,22000000,6.455,424,17.102,Spike Lee,Masculino
tt0139809,The Thirteenth Floor,R,Thriller,101,1999-04-16,Centropolis Film Productions,18600000,16000000,7.032,1212,30.062,Josef Rusnak,Masculino
tt0122541,An Ideal Husband,PG-13,Drama,97,1999-04-15,Miramax,18500000,14000000,6.4,170,11.873,Oliver Parker,Masculino
tt0144814,The Rage: Carrie 2,R,Horror,104,1999-03-12,United Artists,17762705,21000000,5.629,377,15.59,Katt Shea,Femenino
tt0120662,Eye of the Beholder,R,Mystery,109,1999-09-04,Destination Films,17589705,15000000,5,143,12.293,Stephan Elliott,Masculino
tt0163988,Bringing Out the Dead,R,Drama,121,1999-10-22,Scott Rudin Productions,16800000,32000000,6.62,983,20.84,Martin Scorsese,Masculino
tt0139668,True Crime,R,Drama,127,1999-03-19,The Zanuck Company,16700000,55000000,6.543,691,21.206,Clint Eastwood,Masculino
tt0140379,A Midsummer Night's Dream,PG-13,Fantasy,116,1999-05-14,Taurus Film,16071990,11000000,6.4,338,17.569,Michael Hoffman,Masculino
tt0126886,Election,R,Comedy,103,1999-04-23,Paramount,14902041,25000000,6.9,963,14.647,Alexander Payne,Masculino
tt0166943,Music of the Heart,PG,Music,124,1999-10-29,Craven-Maddalena Films,14859394,27000000,6.714,199,10.654,Wes Craven,Masculino
tt0120857,Tea with Mussolini,PG,Comedy,117,1999-03-25,Cattleya,21001563,12000000,6.393,135,15.578,Franco Zeffirelli,Masculino
tt0160401,In Too Deep,R,Drama,95,1999-08-25,Dimension Films,14011454,7000000,6.411,90,10.84,Michael Rymer,Masculino
tt0120757,The Mod Squad,R,Action,92,1999-03-26,Metro-Goldwyn-Mayer,13260050,50000000,4.329,117,8.988,Scott Silver,Masculino
tt0145653,Angela's Ashes,R,Drama,145,1999-12-25,Universal Pictures,13042112,50000000,7.202,284,14.529,Alan Parker,Masculino
tt0203408,The Omega Code,PG-13,Horror,100,1999-10-15,Code Productions,12600000,7200000,4.673,49,6.075,Robert Marcarelli,Masculino
tt0120710,In Dreams,R,Mystery,100,1999-01-15,DreamWorks Pictures,12017369,30000000,5.477,174,12.153,Neil Jordan,Masculino
tt0160429,The King and I,G,Animation,87,1999-03-19,NEST Family Entertainment,12000000,25000000,5.371,101,10.212,Richard Rich,Masculino
tt0163579,Chill Factor,R,Action,101,1999-09-01,Morgan Creek Entertainment,11263966,34000000,4.915,130,10.677,Hugh Johnson,Masculino
tt0159421,The Adventures of Elmo in Grouchland,G,Family,73,1999-10-01,Columbia Pictures,11700000,26000000,6.2,81,13.569,Gary Halvorson,Masculino
tt0131646,Wing Commander,PG-13,Science Fiction,100,1999-03-11,Wing Commander Productions,11578059,30000000,4.8,234,13.478,Christopher Roberts,Masculino
tt0171804,Boys Don't Cry,R,Crime,118,1999-09-02,IFC Films,11540607,2000000,7.437,1237,19.818,Kimberly Peirce,Femenino
tt0126250,Cookie's Fortune,PG-13,Comedy,118,1999-03-24,Moonstone Entertainment,10920544,10000000,6.4,157,8.244,Robert Altman,Masculino
tt0172396,The End of the Affair,R,Romance,102,1999-12-03,Columbia Pictures,10827816,23000000,6.6,226,12.74,Neil Jordan,Masculino
